ID,Title,WP_page_title,First_weekend_revenue_USD,Number_of theaters,Date_of_release,Inception_of_article_(movie_time_days),SearchForWPonly,Views60,Users60,Rigor60,Edits60,Views50,Users50,Rigor50,Edits50,Views40,Users40,Rigor40,Edits40,Views30,Users30,Rigor30,Edits30,Views20,Users20,Rigor20,Edits20,Views10,Users10,Rigor10,Edits10
86,Furry Vengeance,Furry_Vengeance,6627564,2997,4/30/10,117,0,27175,7,7,7,31625,8,8,9,36197,11,10,11,41972,13,13,15,51342,20,20,22,62583,34,31,42
87,Gasland,Gasland,2641,1,9/15/10,165,0,14142,44,51,142,17043,47,54,148,20918,47,54,148,23086,46,56,150,26108,48,57,151,28651,51,58,152
88,Get Him to the Greek,Get_Him_to_the_Greek,17570955,2697,6/4/10,591,0,620386,137,163,218,640907,148,170,225,664652,146,175,230,687201,156,185,243,723604,166,195,254,773613,186,210,270
89,Going the Distance,Going_the_Distance_(2010_film),6884964,3030,9/3/10,369,0,116843,41,43,55,120009,42,46,59,127348,42,46,59,140364,50,49,68,172516,54,58,80,212090,60,66,89
90,Golmaal 3,Golmaal_3,626432,86,11/5/10,278,0,102950,87,103,152,121589,100,119,172,138865,116,145,201,157041,131,156,222,179119,144,169,245,198377,156,185,268
91,Great Directors,Great_Directors,5440,3,7/2/10,10,0,16,0,0,0,17,0,0,0,19,0,0,0,21,0,0,0,21,0,0,0,152,8,16,25
92,Greenberg,Greenberg_(film),118152,3,3/19/10,115,0,18463,10,10,12,21975,11,11,13,26134,11,11,13,28381,13,13,17,31187,12,14,18,34033,12,14,18
93,Green Zone,Green_Zone_(film),14309295,3003,3/12/10,779,0,274071,92,107,156,295650,93,111,160,308345,101,112,161,323521,98,116,166,350726,105,123,173,391795,119,133,185
94,Grown Ups,Grown_Ups_(film),40506562,3534,6/25/10,396,0,586808,117,131,167,610350,127,143,185,636514,134,147,193,663037,136,158,211,700437,154,171,228,745463,162,182,240
95,Gulliver%27s Travels,Gulliver%27s_Travels_(2010_film),6307691,2546,12/25/10,529,0,355671,69,68,96,372077,74,73,103,389257,79,78,109,405931,81,82,113,430623,86,86,117,470759,96,95,128
96,Guy and Madeline on a Park Bench,Guy_and_Madeline_on_a_Park_Bench,3233,1,11/5/10,9,0,29,0,0,0,30,0,0,0,31,0,0,0,37,0,0,0,43,0,0,0,48,0,0,0
97,Guzaarish,Guzaarish,488121,108,11/19/10,468,0,293114,131,123,175,343475,179,179,284,382527,213,215,355,430944,247,242,399,480578,286,316,537,526787,326,375,662
98,Handsome Harry,Handsome_Harry,13500,4,4/16/10,-159,1,2223,0,0,0,2252,0,0,0,2281,0,0,0,2307,0,0,0,2330,0,0,0,2356,0,0,0
99,Happy Tears,Happy_Tears,13009,15,2/19/10,11,0,1415,0,0,0,1460,0,0,0,1516,0,0,0,1559,0,0,0,1596,0,0,0,2078,1,1,2
100,Heartbreaker,Heartbreaker_(2010_film),52628,3,9/10/10,154,0,8656,8,9,24,11648,9,10,25,14488,11,12,28,17255,11,12,28,19954,13,14,31,23769,13,14,31
101,Helena from the Wedding,Helena_from_the_Wedding,2692,1,11/12/10,507,0,14411,11,11,14,14876,11,12,15,15581,11,12,15,16176,11,12,15,16757,12,13,22,17352,12,13,22
102,Henri-Georges Clouzot%27s Inferno,Henri-Georges_Clouzot%27s_Inferno,3981,1,7/16/10,239,0,3314,8,11,13,3490,8,11,13,3703,8,11,13,3834,8,11,13,4113,8,11,13,4229,8,11,13
103,Hereafter,Hereafter_(film),220322,6,10/15/10,392,0,233975,35,56,112,247478,34,57,116,260318,36,60,120,283663,41,68,154,310147,46,75,161,359171,45,80,167
104,Holy Rollers,Holy_Rollers,39685,3,5/21/10,234,0,5490,1,1,1,5778,3,4,9,6605,4,5,10,7747,6,7,12,9910,8,9,14,12825,10,11,16
105,Hot Tub Time Machine,Hot_Tub_Time_Machine,14020502,2754,3/26/10,300,0,141334,41,37,53,165686,48,45,63,177763,49,46,64,204243,64,60,79,244052,93,84,115,294355,112,106,143
106,Housefull,Housefull_(film),642156,82,4/30/10,263,0,128668,91,95,141,144507,133,139,203,164823,151,165,239,183488,161,197,289,203239,179,207,303,225604,199,226,329
107,How Do You Know,How_Do_You_Know,7484696,2483,12/17/10,261,0,177618,38,39,53,191828,40,40,54,207578,42,42,56,223284,42,43,57,246216,44,48,63,275789,48,50,65
108,Howl,Howl_(film),51185,6,9/24/10,338,0,113504,30,32,44,121123,32,34,46,127936,32,34,46,134561,34,36,49,138747,35,38,52,140140,35,38,52
109,How to Train Your Dragon,How_to_Train_Your_Dragon_(film),43732319,4055,3/26/10,622,0,569852,160,174,249,592192,162,178,254,615211,176,193,275,652491,190,209,295,689362,210,222,313,741553,210,231,322
110,Hugh Hefner Playboy Activist and Rebel,"Hugh_Hefner:_Playboy,_Activist_and_Rebel",10000,4,7/30/10,-3,1,555,0,0,0,555,0,0,0,555,0,0,0,555,0,0,0,555,0,0,0,555,0,0,0
111,I%27m Still Here,I%27m_Still_Here_(film),96658,19,9/10/10,320,0,1,0,0,0,1,0,0,0,1,0,0,0,3484,0,0,0,11106,0,0,0,17971,1,1,1
112,I Hate Luv Storys,I_Hate_Luv_Storys,375297,85,6/30/10,14,0,68363,50,43,94,73233,51,45,96,87537,78,72,134,117502,168,194,295,143458,195,217,324,160156,210,234,347
113,Inception,Inception,62785337,3792,7/16/10,392,0,1212947,276,304,418,1299481,288,324,446,1379413,311,347,479,1448183,334,374,512,1558693,377,407,558,1667581,413,460,642
114,Inhale,Inhale_(film),3030,2,10/22/10,-23,1,1586,0,0,0,1603,0,0,0,1623,0,0,0,1641,0,0,0,1656,0,0,0,1678,0,0,0
115,In My Sleep,In_My_Sleep,9285,1,4/23/10,470,0,31559,15,21,49,32103,15,21,49,32659,15,21,49,33491,15,21,49,35163,15,21,49,37580,15,21,49
116,Inside Job,Inside_Job_(film),39649,2,10/8/10,137,0,2035,4,5,11,2423,4,5,11,4669,6,8,15,8726,7,10,17,13255,8,12,20,18466,8,12,20
117,Iron Man 2,Iron_Man_2,128122480,4380,5/7/10,406,0,4011629,647,938,1253,4247586,703,1012,1370,4380254,725,1045,1409,4555047,768,1108,1485,4755655,824,1194,1597,5098227,883,1278,1702
118,I Spit on Your Grave,I_Spit_on_Your_Grave_(2010_film),32440,12,10/8/10,315,0,40567,29,41,75,45770,33,43,77,51864,33,46,82,59565,33,47,83,66264,33,47,83,75490,38,50,86
119,It%27s Kind of a Funny Story,It%27s_Kind_of_a_Funny_Story_(film),2013406,742,10/8/10,118,0,58317,6,7,10,73890,8,11,15,88624,11,15,19,105038,11,15,19,122058,16,19,23,156145,24,27,31
120,I Want Your Money,I_Want_Your_Money,249428,537,10/15/10,1,0,19,0,0,0,23,0,0,0,24,0,0,0,25,0,0,0,27,0,0,0,30,0,0,0
121,Jackass 3D,Jackass_3D,50353641,3081,10/15/10,301,0,532201,272,306,430,575143,281,312,437,611204,293,321,447,656411,309,331,457,700304,309,343,476,758258,339,360,499
122,Jack Goes Boating,Jack_Goes_Boating_(film),28916,4,9/17/10,-13,1,13,0,0,0,22,0,0,0,33,0,0,0,40,0,0,0,46,0,0,0,71,0,0,0
123,Jean-Michel Basquiat The Radiant Child,Jean-Michel_Basquiat:_The_Radiant_Child,17466,1,7/21/10,-5,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
124,Joan Rivers A Piece of Work,Joan_Rivers:_A_Piece_of_Work,164351,7,6/11/10,-31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
125,Jonah Hex,Jonah_Hex_(film),5379365,2825,6/18/10,436,0,893140,123,138,201,920284,127,149,215,987436,141,174,248,1031444,148,178,256,1102282,151,188,266,1190172,173,209,290
126,Just Wright,Just_Wright,8284989,1831,5/14/10,269,0,25913,16,17,26,29561,20,21,30,34599,21,23,32,42107,26,27,37,51836,28,30,40,72454,41,42,52
127,Karthik Calling Karthik,Karthik_Calling_Karthik,179643,70,2/26/10,172,0,31904,7,8,25,37488,11,12,33,53304,30,31,56,77969,70,70,116,107277,79,83,133,131650,90,90,143
128,Khatta Meetha,Khatta_Meetha_(2010_film),309211,83,7/23/10,392,0,123242,44,49,80,127742,47,51,82,132397,55,59,97,142484,73,83,136,152659,94,93,150,160457,99,106,175
